"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"27482",4,6,3,2,0.666666666666667,0.666666666666667,3,2,2,2,2,1,1,1,0.5,1
"27483",9,8,4,5,0.5,0.888888888888889,3,1,1,3,2,1,1,2,0.5,0
"27484",6,12,3,4,0.75,0.5,2,2,1,1,1,1,1,1,1,1
"27485",29,7,13,3,0.0666666666666667,0.241379310344828,6,1,7,1,3,1,7,1,0,0.142857142857143
"27486",14,15,5,9,0.555555555555556,0.933333333333333,3,2,4,5,0,1,3,4,0,0.75
"27487",13,7,6,4,0.111111111111111,0.538461538461538,1,1,3,3,0,0,3,3,0,0.2
"27488",12,16,7,10,0.307692307692308,0.75,2,4,5,6,1,2,5,6,0,0.375
"27489",11,9,4,4,0.333333333333333,0.818181818181818,1,1,4,2,0,0,3,2,0,0.25
"27490",23,9,11,5,0.0666666666666667,0.391304347826087,4,2,7,5,3,1,7,4,0,0.1
"27491",9,10,4,4,0.6,0.9,1,1,2,3,0,0,2,2,0,0.333333333333333
"27492",11,12,5,5,0.428571428571429,0.916666666666667,1,2,6,4,0,1,5,4,0,0.5
"27493",4,10,3,6,0.5,0.4,1,2,2,3,0,1,2,3,0,0.666666666666667
"27494",27,12,16,8,0.333333333333333,0.444444444444444,4,2,6,2,2,2,6,2,0.333333333333333,0.333333333333333
"27495",5,6,2,3,0.666666666666667,0.833333333333333,1,1,2,4,0,1,2,3,0,0.666666666666667
"27496",10,10,5,5,0.666666666666667,1,2,2,4,4,1,1,3,3,0,1
"27497",12,11,7,7,0.166666666666667,0.916666666666667,3,2,5,4,3,2,4,3,0,0.75
"27498",5,5,3,3,0.5,1,2,2,3,3,1,1,2,2,1,0.333333333333333
"27499",4,3,1,1,1,0.75,1,1,2,2,0,0,1,1,0,1
"27500",8,5,4,2,0.5,0.625,2,1,2,2,1,0,2,2,0,1
"27501",10,7,4,2,0.5,0.7,2,2,3,2,1,1,2,1,1,0.5
"27502",9,7,5,2,0.166666666666667,0.777777777777778,2,1,3,3,1,0,3,2,0,0.25
"27503",11,11,6,6,0.0909090909090909,1,3,3,4,3,2,2,3,2,0,0
"27504",8,11,4,8,0.333333333333333,0.727272727272727,1,2,3,4,0,1,2,3,0,0.666666666666667
"27505",4,6,2,3,0.25,0.666666666666667,1,2,2,1,0,1,1,1,0,0
"27506",6,8,3,4,0.75,0.75,1,1,4,3,0,1,3,2,0,0.666666666666667
"27507",5,5,2,2,0.333333333333333,1,1,1,1,3,0,0,1,2,0,0
"27508",31,28,15,15,0.153846153846154,0.903225806451613,5,5,9,8,2,4,9,8,0,0.133333333333333
"27509",7,16,3,5,0.6,0.4375,2,3,2,3,0,0,2,3,0,0.666666666666667
"27510",6,8,3,4,0.4,0.75,2,2,3,4,1,1,2,3,1,0.25
"27511",14,11,7,8,0.363636363636364,0.785714285714286,3,1,4,6,3,1,3,5,0.333333333333333,0.142857142857143
"27512",14,34,10,18,0.217391304347826,0.411764705882353,2,6,4,10,2,4,4,9,0,0.181818181818182
"27513",10,10,6,5,0.1,1,2,2,2,3,1,1,2,2,1,0
"27514",10,8,5,5,0.25,0.8,2,1,3,3,1,1,2,2,1,0.333333333333333
"27515",13,11,9,8,0.416666666666667,0.846153846153846,1,2,7,5,0,1,7,5,0,0.333333333333333
"27516",6,4,3,3,0.5,0.666666666666667,2,1,4,4,0,0,3,3,0,0.5
"27517",10,9,4,4,0.333333333333333,0.9,3,2,3,3,1,1,3,3,0,0.5
"27518",5,5,2,2,0.333333333333333,1,1,1,2,2,0,0,2,2,0,0.333333333333333
"27519",34,10,17,5,0.157894736842105,0.294117647058824,5,2,13,5,1,1,12,4,0,0.230769230769231
"27520",13,10,5,5,0.25,0.769230769230769,3,2,3,2,1,1,2,1,1,0.5
"27521",10,10,6,7,0.444444444444444,1,2,3,3,2,1,2,3,2,0.5,0.666666666666667
"27522",7,13,4,5,0.8,0.538461538461538,1,3,2,3,1,1,1,2,1,0.5
"27523",10,7,5,3,0.6,0.7,2,2,4,3,1,1,3,2,1,0.666666666666667
"27524",8,7,4,3,0.75,0.875,1,1,4,2,0,0,4,2,0,0.5
"27525",16,16,8,10,0.384615384615385,1,4,3,5,5,2,1,5,4,0.5,0.5
"27526",8,8,4,4,0.333333333333333,1,1,1,3,3,0,0,3,3,0,0.5
"27527",8,7,2,4,0,0.875,4,1,1,2,1,1,1,1,0,0
"27528",13,8,8,5,0,0.615384615384615,3,1,4,5,2,0,4,5,0,0
"27529",9,11,5,7,0.5,0.818181818181818,2,3,4,2,1,2,3,2,0.5,0.666666666666667
"27530",5,17,4,9,0,0.294117647058824,1,3,5,4,1,2,4,4,0,0
"27531",10,9,6,5,0.571428571428571,0.9,3,2,3,2,2,1,3,2,0.5,0.666666666666667
"27532",13,14,9,7,0.333333333333333,0.928571428571429,2,1,6,4,1,1,5,4,0,0.5
"27533",11,15,5,6,0.222222222222222,0.733333333333333,2,3,3,5,2,2,2,4,0,0.5
"27534",6,8,3,4,0.4,0.75,2,3,1,1,1,2,1,1,0,1
"27535",8,10,4,5,0.285714285714286,0.8,1,1,4,5,0,0,4,5,0,0.285714285714286
"27536",6,9,4,3,0.75,0.666666666666667,2,2,2,2,2,2,1,1,1,1
"27537",15,7,6,4,0.428571428571429,0.466666666666667,4,1,5,3,2,1,4,2,0.5,0.5
"27538",8,7,4,4,0.333333333333333,0.875,3,2,1,2,2,1,1,2,0.5,0
"27539",6,6,3,4,0.166666666666667,1,2,1,2,1,1,1,2,1,1,0
"27540",12,18,6,9,0,0.666666666666667,3,4,5,4,2,2,4,3,0,0
"27541",15,11,9,7,0.777777777777778,0.733333333333333,1,1,8,6,0,0,7,5,0,0.714285714285714
"27542",12,11,9,5,0,0.916666666666667,3,2,7,3,2,2,6,3,0,0
"27543",6,4,3,2,0.25,0.666666666666667,2,1,3,2,1,1,2,1,0,0.5
"27544",14,27,8,14,0.157894736842105,0.518518518518518,2,3,4,8,1,1,3,8,0,0.1
"27545",17,15,8,9,0.214285714285714,0.882352941176471,1,2,5,5,0,1,5,5,0,0.25
"27546",4,8,2,3,0.666666666666667,0.5,1,2,3,2,1,0,2,2,0,0.333333333333333
"27547",25,6,15,3,0,0.24,7,1,8,3,4,0,8,3,0,0
"27548",10,9,5,4,0.8,0.9,2,2,4,3,1,1,3,2,1,0.666666666666667
"27549",8,14,3,7,0.428571428571429,0.571428571428571,1,3,1,2,0,1,1,2,0,0.5
"27550",8,8,5,5,0.666666666666667,1,1,1,2,2,1,1,1,1,1,1
"27551",8,10,3,3,1,0.8,1,1,4,4,0,0,3,3,0,1
"27552",4,6,2,3,0.666666666666667,0.666666666666667,2,2,2,3,1,1,1,2,1,0.5
"27553",13,14,8,7,0.0714285714285714,0.928571428571429,2,4,6,5,2,2,6,4,0,0.111111111111111
"27554",14,9,5,4,0.285714285714286,0.642857142857143,3,1,4,3,1,1,3,2,0,0.666666666666667
"27555",6,6,3,4,0.4,1,1,1,3,1,0,1,2,1,0,0.5
"27556",11,11,6,6,0.5,1,2,2,4,4,1,1,3,3,0,1
"27557",19,9,9,5,0.272727272727273,0.473684210526316,3,1,6,3,3,0,5,3,0,0.142857142857143
"27558",23,9,14,4,0,0.391304347826087,2,1,4,4,1,0,4,4,0,0
"27559",7,8,3,3,0.5,0.875,2,2,2,3,1,1,2,2,1,0.333333333333333
"27560",11,7,5,4,0.285714285714286,0.636363636363636,1,1,4,3,0,1,4,2,0,0.2
"27561",8,7,3,3,1,0.875,1,1,2,2,0,0,2,2,0,1
"27562",11,11,6,5,0.571428571428571,1,1,1,4,4,0,0,4,4,0,0.6
"27563",8,6,5,4,0.125,0.75,1,1,6,4,0,0,5,4,0,0.125
"27564",11,11,6,6,0.714285714285714,1,1,1,4,4,0,0,4,4,0,0.6
"27565",4,4,2,2,0.333333333333333,1,1,3,2,1,0,1,2,1,0,0.5
"27566",8,18,4,11,0,0.444444444444444,1,5,3,4,0,4,3,4,0,0
"27567",6,8,3,5,0,0.75,2,2,3,4,1,1,2,3,0,0
"27568",9,9,3,3,0.5,1,2,2,2,2,0,0,1,1,0,1
"27569",4,4,3,2,0.666666666666667,1,1,1,3,3,1,0,3,2,0,0.666666666666667
"27570",21,11,9,4,0.3,0.523809523809524,3,4,7,2,1,2,7,2,0,0.285714285714286
"27571",23,9,14,5,0.117647058823529,0.391304347826087,3,3,10,3,3,1,9,3,0.333333333333333,0
"27572",5,8,2,2,0.333333333333333,0.625,2,2,2,2,1,1,1,1,0,1
"27573",7,5,3,2,0.25,0.714285714285714,3,2,2,2,2,1,1,1,0,1
"27574",13,9,6,4,0.666666666666667,0.692307692307692,1,1,7,5,0,0,6,4,0,0.666666666666667
"27575",7,6,4,5,0.5,0.857142857142857,2,2,2,1,2,2,2,1,1,0.5
"27576",28,26,11,9,0.0526315789473684,0.928571428571429,4,4,7,5,3,2,6,5,0,0
"27577",23,4,11,3,0.166666666666667,0.173913043478261,3,1,6,2,1,0,5,2,0,0.166666666666667
"27578",17,17,10,10,0.818181818181818,1,4,4,6,6,1,1,6,6,1,0.714285714285714
"27579",16,14,7,8,0,0.875,3,3,7,4,1,2,6,3,0,0
"27580",10,7,5,4,0.285714285714286,0.7,2,1,2,3,1,0,2,3,0,0.666666666666667
"27581",10,9,5,4,0.5,0.9,2,3,4,2,1,2,3,2,0.5,0.666666666666667
"27582",8,8,4,5,0.5,1,3,3,2,3,2,2,2,3,0.333333333333333,0.666666666666667
"27583",29,31,11,11,0.1,0.935483870967742,7,6,4,4,3,4,4,4,0.166666666666667,0.142857142857143
"27584",8,5,4,3,0.166666666666667,0.625,1,1,3,2,0,0,3,2,0,0.25
"27585",11,11,6,6,1,1,2,2,5,5,1,1,4,4,1,1
"27586",10,10,5,5,0.666666666666667,1,3,2,1,3,1,1,1,2,1,0.5
"27587",8,20,6,7,0.181818181818182,0.4,2,6,4,4,2,3,3,4,0,0.4
"27588",14,16,10,11,0.3125,0.875,2,3,4,5,2,3,4,4,0,0.333333333333333
"27589",8,7,4,3,0.166666666666667,0.875,1,1,3,2,0,0,3,2,0,0.25
"27590",8,7,4,3,0.166666666666667,0.875,1,1,3,3,0,0,3,2,0,0
"27591",11,10,5,5,0.666666666666667,0.909090909090909,2,2,3,3,1,1,3,3,0,1
"27592",10,12,9,6,0.25,0.833333333333333,2,1,7,5,1,0,7,5,0,0.333333333333333
"27593",15,12,4,4,0.333333333333333,0.8,3,3,3,3,1,1,2,2,0,0.333333333333333
"27594",7,19,4,9,0.0833333333333333,0.368421052631579,1,4,3,4,0,3,2,4,0,0
"27595",14,14,8,8,0.777777777777778,1,2,2,5,4,2,2,5,4,1,0.8
"27596",8,8,5,3,0.333333333333333,1,1,2,2,2,0,0,2,2,0,0.333333333333333
"27597",12,7,7,4,0.375,0.583333333333333,2,2,3,4,0,1,3,3,0,1
"27598",7,18,4,8,0.333333333333333,0.388888888888889,1,3,4,3,0,2,3,3,0,0.5
"27599",9,8,4,4,0.6,0.888888888888889,1,1,4,2,0,0,3,2,0,0.666666666666667
"27600",10,16,8,7,0.25,0.625,2,3,5,3,2,1,4,3,0.5,0.166666666666667
"27601",17,20,5,6,0.375,0.85,4,4,3,1,1,3,3,1,0.333333333333333,0.333333333333333
"27602",11,21,6,11,0.307692307692308,0.523809523809524,2,1,4,9,1,0,4,9,0,0.444444444444444
"27603",6,6,3,2,0.666666666666667,1,2,1,3,2,1,1,2,1,1,0.5
"27604",13,14,9,5,0.4,0.928571428571429,2,3,5,4,1,0,5,3,0,0.6
"27605",21,16,12,11,0.352941176470588,0.761904761904762,4,2,6,5,3,2,6,5,0,0.375
"27606",23,23,10,10,0.818181818181818,1,3,3,7,7,1,1,7,7,1,0.75
"27607",14,14,7,7,0.75,1,4,4,4,4,2,2,4,4,1,0.6
"27608",12,10,6,5,0,0.833333333333333,1,1,5,4,0,0,4,4,0,0
"27609",6,8,4,3,0.75,0.75,2,2,2,2,1,0,2,2,0,1
"27610",5,15,3,7,0,0.333333333333333,1,3,4,7,0,1,3,6,0,0.125
"27611",9,9,7,5,0.5,1,2,1,4,2,2,1,3,2,0.5,0.666666666666667
"27612",21,21,11,11,0.833333333333333,1,3,3,7,7,2,2,7,7,1,0.75
"27613",9,5,6,4,0.428571428571429,0.555555555555556,1,1,2,2,1,1,2,1,0,0.5
"27614",16,12,7,4,0,0.75,4,1,3,3,2,0,3,3,0,0
"27615",12,7,7,5,0.0909090909090909,0.583333333333333,2,1,7,4,1,1,6,4,0,0.111111111111111
"27616",9,15,4,7,0.375,0.6,1,3,2,3,0,2,2,3,0,0.25
"27617",16,12,10,8,0.2,0.75,1,1,7,4,1,1,6,4,1,0.111111111111111
"27618",9,10,5,4,0.125,0.9,3,1,4,2,2,0,3,2,0,0
"27619",6,6,4,2,0.2,1,1,2,2,1,0,1,2,1,0,0
"27620",12,12,5,4,0.5,1,4,4,2,1,2,2,2,1,0.333333333333333,0.5
"27621",15,19,8,9,0.133333333333333,0.789473684210526,2,2,5,6,1,2,5,5,0,0.25
"27622",6,16,4,7,0,0.375,2,3,2,5,1,1,2,5,0,0
"27623",7,7,4,3,0.4,1,1,2,2,2,1,2,1,1,0.5,0
"27624",10,8,5,5,0.666666666666667,0.8,2,2,3,2,1,1,2,2,0,1
"27625",9,9,4,5,0.285714285714286,1,3,2,3,2,2,1,2,2,0,0.333333333333333
"27626",5,8,3,4,0.4,0.625,1,1,2,3,0,0,2,2,0,0.333333333333333
"27627",6,7,3,3,0.2,0.857142857142857,2,1,2,2,1,0,2,2,0,0.333333333333333
"27628",12,20,5,10,0,0.6,1,2,3,8,0,1,3,7,0,0
"27629",29,20,14,7,0.05,0.689655172413793,4,4,11,5,1,1,10,5,0,0.0714285714285714
"27630",10,10,6,6,0.5,1,2,2,2,3,1,1,2,3,1,0.25
"27631",7,11,3,4,0.166666666666667,0.636363636363636,2,3,3,2,1,2,2,1,0,0.5
"27632",9,11,6,6,0.5,0.818181818181818,1,2,3,4,1,1,3,4,1,0.75
"27633",9,7,3,4,0.4,0.777777777777778,2,2,4,2,0,0,3,2,0,0.666666666666667
"27634",18,25,10,13,0.0952380952380952,0.72,1,5,7,6,0,4,7,4,0,0
"27635",10,8,6,4,0,0.8,1,2,6,3,1,1,5,3,0,0
"27636",7,3,4,1,0.25,0.428571428571429,1,1,2,2,1,0,2,1,0,0.5
"27637",8,6,6,3,0,0.75,1,1,3,2,1,1,2,1,0,0
"27638",16,11,9,5,0.4,0.6875,3,1,8,6,2,0,7,5,0,0.5
"27639",7,9,4,4,0.333333333333333,0.777777777777778,1,2,3,2,1,1,2,1,0,0
"27640",10,7,6,3,0.5,0.7,1,2,4,3,1,0,3,2,0,0.666666666666667
"27641",8,14,6,9,0.5,0.571428571428571,1,3,3,2,1,2,2,2,0.5,0.333333333333333
"27642",12,10,5,4,0.5,0.833333333333333,2,3,4,2,1,1,3,2,1,0.666666666666667
"27643",11,7,5,3,0,0.636363636363636,3,1,2,1,1,0,1,1,0,0
"27644",9,14,5,7,0.5,0.642857142857143,2,3,2,3,1,2,2,3,0.5,0.666666666666667
"27645",19,17,8,6,0.75,0.894736842105263,5,4,4,4,3,2,4,4,0.666666666666667,1
"27646",10,10,4,4,0.6,1,3,3,2,2,2,2,2,2,0.333333333333333,1
"27647",9,10,5,5,0.25,0.9,1,1,6,4,0,0,5,4,0,0.285714285714286
"27648",7,11,3,4,0.4,0.636363636363636,1,1,1,3,0,0,1,3,0,0
"27649",13,5,6,3,0,0.384615384615385,3,1,4,2,2,0,4,2,0,0.2
"27650",16,18,10,9,0.266666666666667,0.888888888888889,1,5,9,4,0,3,8,4,0,0.333333333333333
"27651",9,10,5,5,0.428571428571429,0.9,2,2,3,5,1,1,2,4,1,0.5
"27652",7,12,4,7,0,0.583333333333333,2,2,3,3,1,1,3,3,0,0
"27653",14,12,6,6,0.2,0.857142857142857,4,5,3,4,2,2,3,4,0.333333333333333,0.166666666666667
"27654",8,11,4,7,0.1,0.727272727272727,1,1,3,5,0,0,3,5,0,0.142857142857143
"27655",4,7,2,5,0.4,0.571428571428571,1,1,3,5,0,0,2,4,0,0.5
"27656",14,12,9,6,0.25,0.857142857142857,3,3,5,4,3,2,4,3,0.25,0.166666666666667
"27657",6,9,3,4,0,0.666666666666667,2,2,3,1,1,1,2,1,0,0
"27658",6,10,3,4,0.75,0.6,1,2,3,4,0,0,3,4,0,0.75
"27659",11,13,5,5,0.428571428571429,0.846153846153846,2,3,4,1,1,2,3,1,0.5,0.333333333333333
"27660",11,12,5,5,0.666666666666667,0.916666666666667,1,1,4,4,0,0,4,4,0,0.6
"27661",8,22,5,10,0.25,0.363636363636364,2,3,3,9,1,1,3,8,1,0.222222222222222
"27662",26,7,11,3,0.0769230769230769,0.269230769230769,6,1,4,1,5,0,4,1,0,0.25
"27663",12,15,7,6,0.3,0.8,4,3,5,5,2,0,5,5,0,0.428571428571429
"27664",9,16,4,4,0.333333333333333,0.5625,2,3,2,1,1,2,2,1,0.5,0
"27665",7,10,5,4,0.285714285714286,0.7,1,3,2,2,1,1,2,2,0,0.333333333333333
"27666",21,21,11,11,0.833333333333333,1,3,3,7,7,2,2,7,7,1,0.75
"27667",8,6,5,4,0.285714285714286,0.75,1,1,3,5,1,0,3,4,0,0.75
"27668",17,17,7,7,0.75,1,3,3,4,4,1,1,4,4,1,0.6
"27669",6,9,4,6,0,0.666666666666667,1,1,5,3,1,1,4,3,0,0
"27670",9,10,5,4,0.125,0.9,1,2,3,4,0,1,3,3,0,0.2
"27671",8,8,5,5,0.666666666666667,1,1,1,4,4,0,0,3,3,0,0.5
"27672",6,6,4,3,0.75,1,1,2,1,1,1,1,1,1,1,1
"27673",8,10,4,5,0.5,0.8,1,1,3,3,0,0,2,3,0,0.25
"27674",3,5,1,2,0.5,0.6,1,2,1,1,0,1,1,1,0,1
"27675",8,8,5,5,0.428571428571429,1,2,2,3,3,1,1,3,3,0,1
"27676",10,10,5,5,0.428571428571429,1,1,1,5,4,0,0,5,4,0,0.5
"27677",7,7,3,2,0.666666666666667,1,2,2,3,1,1,1,2,1,1,0.5
"27678",6,7,2,2,1,0.857142857142857,1,1,2,2,0,0,2,2,0,1
"27679",6,6,4,4,0.333333333333333,1,1,2,3,3,0,1,3,3,0,0.2
"27680",10,11,5,5,0.25,0.909090909090909,1,2,4,4,1,1,3,3,0,0.2
"27681",9,20,6,13,0,0.45,4,2,2,5,2,2,2,4,0,0
"27682",7,12,4,6,0.428571428571429,0.583333333333333,1,2,4,4,0,1,4,4,0,0.6
"27683",4,8,2,3,0.666666666666667,0.5,1,2,2,2,0,0,1,2,0,0.5
"27684",29,11,11,3,0.0769230769230769,0.379310344827586,8,2,2,2,6,0,2,2,0,0
"27685",17,5,4,2,0.5,0.294117647058824,5,2,2,2,2,1,2,1,0.5,0.5
"27686",11,9,4,4,0,0.818181818181818,2,1,3,1,1,1,3,1,0,0
"27687",10,5,7,5,0.5,0.5,1,1,6,3,1,1,6,2,0,0.333333333333333
"27688",6,5,4,4,0.6,0.833333333333333,1,1,2,2,0,0,2,2,0,0.333333333333333
"27689",12,14,6,8,0.4,0.857142857142857,2,2,4,5,1,1,4,5,1,0.285714285714286
"27690",5,6,4,4,0.6,0.833333333333333,2,1,3,5,1,0,2,4,0,0.5
"27691",13,13,7,7,0.166666666666667,1,4,3,3,3,2,2,3,3,0.333333333333333,0.2
"27692",12,22,6,12,0.285714285714286,0.545454545454545,2,3,4,9,1,2,4,9,0,0.3
"27693",10,16,5,5,0.25,0.625,2,3,3,3,1,2,2,3,0.5,0.25
"27694",12,13,5,7,0.2,0.923076923076923,4,2,3,4,3,1,2,4,0.333333333333333,0
"27695",6,5,3,2,0.666666666666667,0.833333333333333,1,1,1,1,1,1,1,1,1,1
"27696",8,9,4,5,0.5,0.888888888888889,1,1,3,4,0,0,3,4,0,0.4
"27697",6,9,4,4,0.333333333333333,0.666666666666667,2,3,4,2,1,2,3,2,0,0.666666666666667
"27698",9,10,4,4,0.333333333333333,0.9,2,2,3,3,1,1,3,3,0,0.5
"27699",6,7,3,4,0.4,0.857142857142857,1,1,2,3,0,0,2,3,0,0.666666666666667
"27700",11,9,6,6,0.333333333333333,0.818181818181818,2,1,3,5,1,0,3,5,0,0.333333333333333
"27701",7,6,3,2,0.666666666666667,0.857142857142857,2,2,2,2,1,1,2,1,1,0.5
"27702",26,10,11,4,0.153846153846154,0.384615384615385,2,1,8,4,1,0,7,3,0,0.25
"27703",18,15,9,8,0.307692307692308,0.833333333333333,3,4,3,4,2,2,3,4,0.333333333333333,0.4
"27704",6,5,3,3,1,0.833333333333333,1,1,2,2,0,0,2,2,0,1
"27705",7,5,2,2,0.333333333333333,0.714285714285714,1,1,1,2,0,0,1,1,0,0
"27706",3,3,1,1,0,1,1,1,1,1,0,0,1,1,0,0
"27707",18,17,11,10,0.5,0.944444444444444,3,3,8,7,1,1,8,7,1,0.363636363636364
"27708",11,10,5,6,0.375,0.909090909090909,1,1,3,5,0,0,3,4,0,0.166666666666667
"27709",9,8,5,4,0.285714285714286,0.888888888888889,1,1,4,3,0,0,4,3,0,0.4
"27710",9,8,3,3,1,0.888888888888889,2,2,2,2,0,0,2,2,0,1
"27711",15,26,6,11,0.214285714285714,0.576923076923077,4,6,2,5,2,4,2,4,0.5,0.2
"27712",5,23,5,11,0,0.217391304347826,1,7,6,7,1,4,5,7,0,0
"27713",14,1,7,1,0,0.0714285714285714,2,1,3,1,0,1,3,1,0,0
"27714",11,7,5,3,0,0.636363636363636,1,1,5,3,0,0,4,2,0,0
"27715",10,16,5,9,0.4,0.625,1,4,5,6,0,3,5,5,0,0.666666666666667
"27716",4,6,3,4,0.75,0.666666666666667,1,1,3,4,1,1,2,3,1,0.666666666666667
"27717",17,6,8,5,0,0.352941176470588,2,1,6,4,0,1,6,4,0,0
"27718",14,14,7,7,0.75,1,2,2,5,5,1,1,5,5,1,0.666666666666667
"27719",10,8,4,4,0.6,0.8,2,1,2,4,1,0,2,3,0,0.666666666666667
"27720",18,18,11,11,0.833333333333333,1,4,4,7,7,1,1,7,7,1,0.75
"27721",7,7,4,4,0.333333333333333,1,1,1,3,2,1,1,2,2,0,0.333333333333333
"27722",8,7,6,5,0.375,0.875,1,3,3,2,1,2,3,2,0,0.25
"27723",14,12,7,5,0.2,0.857142857142857,3,2,6,3,2,1,5,2,0,0.4
"27724",6,17,2,6,0.333333333333333,0.352941176470588,1,4,2,1,1,3,1,1,0.333333333333333,1
"27725",28,10,11,6,0.133333333333333,0.357142857142857,8,2,6,5,6,1,5,4,0,0.285714285714286
"27726",17,11,6,5,0.571428571428571,0.647058823529412,6,3,2,2,3,2,2,2,0.25,1
"27727",8,10,3,4,0.75,0.8,2,2,1,1,1,1,1,1,1,1
"27728",20,16,9,10,0.1875,0.8,4,5,5,4,2,3,5,4,0.25,0.125
"27729",8,13,5,7,0.714285714285714,0.615384615384615,1,1,5,6,0,0,5,6,0,0.833333333333333
"27730",11,11,6,5,0.375,1,3,3,2,3,2,2,2,3,1,0.25
"27731",7,7,3,4,0.4,1,1,2,1,1,1,1,0,0,0,0
"27732",4,7,2,3,0.666666666666667,0.571428571428571,1,1,3,4,0,0,2,3,0,0.666666666666667
"27733",13,26,7,15,0.0476190476190476,0.5,1,4,6,13,0,1,6,12,0,0.0588235294117647
"27734",15,10,10,5,0.0714285714285714,0.666666666666667,5,2,2,3,3,2,2,2,0.25,0
"27735",9,9,4,4,0.6,1,2,2,2,2,1,1,2,2,1,0.333333333333333
"27736",11,15,6,9,0.0714285714285714,0.733333333333333,1,4,2,4,1,4,2,4,0,0
"27737",11,12,6,9,0.363636363636364,0.916666666666667,3,1,1,6,2,1,1,6,0.5,0.166666666666667
"27738",16,14,11,8,0,0.875,4,5,7,6,3,3,6,5,0,0
"27739",12,33,6,12,0.285714285714286,0.363636363636364,3,8,3,6,2,5,3,5,0.4,0.333333333333333
"27740",27,24,13,12,0.0869565217391304,0.888888888888889,3,4,8,8,1,2,8,7,0,0.153846153846154
"27741",10,10,4,5,0.8,1,2,2,1,1,2,2,1,1,1,1
"27742",10,13,8,9,0.545454545454545,0.769230769230769,1,1,5,6,1,1,4,5,0,0.8
"27743",8,13,3,8,0.375,0.615384615384615,2,4,2,4,1,3,1,3,0.333333333333333,0.333333333333333
"27744",4,4,2,2,0.333333333333333,1,1,1,2,2,1,1,1,1,1,0
"27745",12,10,6,6,0.333333333333333,0.833333333333333,2,2,4,5,1,1,4,5,1,0.285714285714286
"27746",8,8,4,4,0.6,1,3,3,1,1,1,1,1,1,1,1
"27747",9,9,4,4,0.6,1,2,2,2,2,1,1,2,2,1,0.333333333333333
"27748",7,11,4,5,0.5,0.636363636363636,2,2,1,3,1,2,1,2,0.5,0.5
"27749",7,8,2,2,1,0.875,2,2,1,1,1,1,1,1,1,1
"27750",10,10,4,5,0.125,1,1,2,3,3,0,1,3,2,0,0.25
"27751",12,8,6,5,0.375,0.666666666666667,2,1,4,5,1,1,4,4,0,0.6
"27752",9,13,5,8,0.625,0.692307692307692,2,2,4,5,1,1,4,5,1,0.8
"27753",20,26,9,14,0.210526315789474,0.769230769230769,5,5,5,6,3,3,5,6,0,0.375
"27754",8,9,4,5,0.5,0.888888888888889,1,2,1,3,1,1,1,3,1,0.333333333333333
"27755",10,10,4,4,0.333333333333333,1,1,1,5,5,0,0,4,4,0,0.333333333333333
"27756",11,10,6,5,0.375,0.909090909090909,1,1,3,2,0,0,3,2,0,0.666666666666667
"27757",8,7,5,6,0.571428571428571,0.875,3,3,4,4,2,2,3,4,0,0.75
"27758",14,14,9,10,0.461538461538462,1,2,4,4,4,1,3,4,4,0.333333333333333,0.6
"27759",9,9,7,6,0.444444444444444,1,1,1,4,3,1,1,3,3,1,1
"27760",16,9,6,5,0.222222222222222,0.5625,4,2,3,3,2,1,2,2,0.5,0.333333333333333
"27761",14,15,7,8,0.363636363636364,0.933333333333333,3,2,5,5,1,1,4,4,0,0.6
"27762",10,15,5,6,0.375,0.666666666666667,3,4,3,3,2,2,3,3,0.333333333333333,0.5
"27763",6,7,4,5,0.8,0.857142857142857,1,1,3,3,0,0,3,3,0,1
"27764",13,6,6,4,0.25,0.461538461538462,1,1,5,4,0,0,5,3,0,0.142857142857143
"27765",13,28,9,10,0.357142857142857,0.464285714285714,2,6,4,3,1,3,4,3,0,0.4
"27766",13,7,9,5,0.166666666666667,0.538461538461538,2,2,4,4,1,1,4,3,0,0.166666666666667
"27767",25,7,16,3,0.0555555555555556,0.28,5,1,8,2,3,0,7,2,0,0.125
"27768",11,16,6,9,0.153846153846154,0.6875,2,4,2,7,1,2,2,6,0,0.333333333333333
"27769",8,11,4,5,0.285714285714286,0.727272727272727,1,2,2,1,1,1,2,1,0,0.5
"27770",4,5,2,3,0.666666666666667,0.8,1,1,2,1,0,0,2,1,0,0.5
"27771",20,7,15,5,0.25,0.35,2,2,12,3,1,1,11,3,1,0.166666666666667
"27772",8,10,5,4,0,0.8,1,3,4,2,0,1,4,2,0,0
"27773",6,21,3,11,0,0.285714285714286,1,4,2,7,1,4,1,6,0,0
"27774",18,53,10,29,0.0540540540540541,0.339622641509434,5,11,5,10,2,5,5,9,0,0.0769230769230769
"27775",4,24,3,12,0,0.166666666666667,1,5,1,6,0,3,1,6,0,0
"27776",7,6,3,3,0.5,0.857142857142857,1,1,3,3,0,0,2,2,0,0.333333333333333
"27777",6,11,3,7,0.25,0.545454545454545,1,1,2,6,0,1,1,5,0,0
"27778",6,9,2,4,0.2,0.666666666666667,1,1,2,4,0,0,2,3,0,0.25
"27779",9,14,4,6,0.428571428571429,0.642857142857143,2,4,1,2,2,3,1,2,0.666666666666667,0.5
